domain,blocked
labs.google,0
udg.edu,0
twstalker.com,0
*.nomosolar.com,1
*.di028lywwye7s.cloudfront.net,1
meteofor.md,0
musee-orsay.fr,0
*.buy-phentermine.thepizza.net,1
lightspeedsystems.com,0
*.besseraaperies.top,1
dyson.se,0
bosch-professional.com,0
pyzor.org,0
*.infinitemediamonitor.pro,1
barbars.ru,0
*.decarincat.pro,1
ziggogo.tv,0
oracleindustry.com,0
antaranews.com,0
*.nylonhighlyculture.com,1
*.longebuzan.pro,1
flussonic.cloud,0
*.allegrolokalnie.76324.top,1
*.yaguazaderail.shop,1
chemicalbook.com,0
*.hololive.mozicloud.org,1
24.co.za,0
*.allegro.pl-80834493.shop,1
diariodocentrodomundo.com.br,0
*.umbrellacorporation.info,1
mfa.gov.il,0
cmgdns.com,0
*.wifimaster.tech,1
vietnamplus.vn,0
*.yoyoykamphora.com,1
*.lvprocurement.com,1
*.sourcefreshnews.com,1
keurig.com,0
*.dbdophuz.icu,1
paymgate.ru,0
freedom.to,0
*.console.healthcarescene.com,1
hh.ru,0
*.cunninglion.pro,1
dhresource.com,0
ajxx98.online,0
camping.info,0
*.passaciucc.pro,1
nnov.ru,0
*.ez-like.net,1
*.assamwholesale.com,1
pnp.de,0
weblium.com,0
soorban.com,0
isc2.org,0
*.toweringmonkey.pro,1
*.easydisplay.no,1
storeboard.com,0
betfair.es,0
dekudeals.com,0
*.harmtidetrade.net,1
*.ac.4wank.com,1
*.binhchonhoakhoivietnammua9.weebly.com,1
kingofshojo.com,0
stellantis.com,0
largus.fr,0
netnod.se,0
sihuacloud.com,0
*.pharmaciedesponts-charny.fr,1
*.upbeat-williams.213-209-143-44.plesk.page,1
syncbak.com,0
cineplex.com,0
*.broscheid.de,1
*.megawincasinos.fr,1
osapublishing.org,0
*.hergzomei.firebaseapp.com,1
cloud-ips.com,0
ai-transsion.com,0
1001freefonts.com,0
identrust.com,0
*.ads.telma.com.mk,1
futurism.com,0
*.acdwef114.cn,1
simplybuilder.io,0
*.mansoni85.ddns.net,1
*.login-screen-106729.weeblysite.com,1
*.fxztjnsb.com,1
*.desicigneme.pro,1
*.itren.site,1
dimepkairos.com.br,0
*.31bqljnla.de,1
*.trendpeak.club,1
*.spietcompi.pro,1
*.10523745.xyz,1
joebiden.com,0
byte008.com,0
*.sistemadigital.com.de,1
*.evt.collarity.com,1
ifunny.co,0
raidbots.com,0
genworth.com,0
*.btcuewallet.webflow.io,1
*.pictuagrie.pro,1
long.tv,0
dvr163.com,0
explainthatstuff.com,0
*.true-forex-funds.com,1
*.gawavalen.fun,1
zive.cz,0
*.kakarik-32070.portmap.host,1
ssir.org,0
rosminzdrav.ru,0
astrodsp.com,0
*.cdn.ad-platform.jmty.jp,1
*.d2sffavqvyl9dp.cloudfront.net,1
*.static-ssp.yidianzixun.com,1
*.immediatepuro20.com,1
*.analytics.tntdrama.com,1
